assessment_id,ciso_priority
ad4f3ff1-30eb-5042-16ed-27198f640b8d,2
eade5b56-eefd-444f-95c8-23f29e5d93cb,2
6023a1c3-4a7d-863a-e5eb-1205162972d5,3
644c00b1-2dbe-47bb-2e24-6e72a6c31487,3
dea5192e-1bb3-101b-b70c-4646546f5e1e,4
45d313c3-3fca-5040-035f-d61928366d31,3
bd20bd91-aaf1-7f14-b6e4-866de2f43146,2
f949db47-2ea9-417d-a56f-3bb477ad574f,1
2c79b4af-f830-b61e-92b9-63dfa30f16e4,2
861bbc73-0a55-8d1d-efc6-e92d9e1176e0,1
15be5f3c-e0a4-c0fa-fbff-8e50339b4b22,2
1597605a-0faf-5860-eb74-462ae2e9fc21,3
2a54c352-7ca4-4bae-ad46-47ecd9595bd2,2
0b712179-f61f-4e80-9286-f7eed8f08a47,3
03cafeee-dc2a-a329-ef20-b7e5ca6aa729,3
651967bf-044e-4bde-8376-3e08e0600105,2
57be0684-7d7f-5797-3a51-eb6961886061,3
efe75f01-6fff-5d9d-08e6-092b98d3fb3f,1
f11b27f2-8c49-5bb4-eff5-e1e5384bf95e,3
58b87599-cfae-1bde-dd2d-2476272aaab5,3
8be87e80-48f7-f5d5-21a6-c8372526ac08,3
5441e1ff-cd65-03c9-ae4a-2c6dc43a908d,3
3ea106ab-e57d-0f59-f16a-e97cc4b897a9,3
fb10ead6-6212-6600-46c1-026f867d18d3,3
fc331f84-a43f-96db-dc09-dfa60d7f99a7,3
8941d121-f740-35f6-952c-6561d2b38d36,2
95592ab0-ddc8-660d-67f3-6df1fadfe7ec,5
ad5bbaeb-7632-5edf-f1c2-752075831ce8,4
32771b45-220c-1a8b-584e-fdd5a2584a66,4
0c02a769-03f1-c4d7-85a5-db5dca505c49,1
2ce368b5-7882-89fd-6645-885b071a2409,5
69133b6b-695a-43eb-a763-221e19556755,3
1b351b29-41ca-6df5-946c-c190a56be5fe,1
12018f4f-3d10-999b-e4c4-86ec25be08a1,3
87448ec1-55f6-3746-3f79-0f35beee76b4,1
8ad68a2f-c6b1-97b5-41b5-174359a33688,5
c6dad669-efd7-cd72-61c5-289935607791,4
d57a4221-a804-52ca-3dea-768284f06bb7,2
1f655fb7-63ca-4980-91a3-56dbc2b715c6,2
1d680412-a0dd-19ee-dc7b-a6944714c247,2
8c3d9ad0-3639-4686-9cd2-2b2ab2609bda,2
0cb5f317-a94b-6b80-7212-13a9cc8826af,2
1a2b5b4c-f80d-46e7-ac81-b51a9fb363de,2
b0fdc63a-38e7-4bab-a7c4-2c2665abbaa9,2
08e628db-e2ed-4793-bc91-d13e684401c3,1
56a83a6e-c417-42ec-b567-1e6fcb3d09a9,1
86f91051-9d6a-47c3-a07f-bd14cb214b45,2
aba14f78-27c5-af84-848e-9105d18dfd92,2
32060ac3-f17f-4848-db8e-e7cf2c9a53eb,2
8d244d29-fa00-4332-b935-c3a51d525417,1
9b795646-9130-41a4-90b7-df9eae2437c8,1
c6d87087-9ebe-b31f-b452-0bf3bbbaccd2,1
5409cb02-6884-4de3-870d-c17b98bbe04f,2
c5045ea3-afc6-4006-ab8f-86c8574dbf3d,2
e9acaf48-d2cf-45a3-a6e7-3caa2ef769e0,2
add45209-73f6-4fa5-a5a5-74a451b07fbe,1
11c95609-3553-430d-b788-fd41cde8b2db,1
405c9ae6-49f9-46c4-8873-a86690f27818,3
43dc2a2e-ce69-4d42-923e-ab7d136f2cfe,3
27d6f0e9-b4d5-468b-ae7e-03d5473fd864,1
5d90913f-a1c5-4429-ad54-2c6c17fb3c73,1
802c0637-5a8c-4c98-abd7-7c96d89d6010,2
ebc68898-5c0f-4353-a426-4a5f1e737b12,1
f0debc84-981c-4a0d-924d-aa4bd7d55fef,3
c609cf0f-71ab-41e9-a3c6-9a1f7fe1b8d5,2
bb318338-de6a-42ff-8428-8274c897d564,1
ff87e0b4-17df-d338-5b19-80e71e0dcc9d,2
