assessment_id,ciso_priority
2614f6be-da8e-4dbc-89d9-7ba4d63564c7,5
2658620a-0419-df04-f0ec-4f632fd83363,5
26f0d5bb-1398-49be-83c5-7161c2e39d8b,1
26fe0d26-ef4a-02f4-7876-78da3f272c32,5
276603c5-bd48-407a-949f-6dbbb5b3f61d,5
276b1952-c364-852b-11e5-657f0fa34dc6,2
27785579-c1d5-8afc-a6c8-98fb1f4f0100,5
279bec7f-b9d2-230b-f778-672e6bb033fb,5
2830790c-5b3f-43cb-be6b-7572e441acc1,5
283a4df9-3e80-f6e4-b8f9-0266303d69ad,5
284b7262-f7fe-7be2-9a89-ba27d7a8f26a,5
28b5cfb6-7548-44f9-9f43-a542644fa1fd,5
28ca6fb2-f3b0-4494-bcfb-6600b30fec50,4
29395413-af1d-4052-86c4-2b059fd4a778,5
299d1595-5ab2-4ef5-b287-6477c0df5178,5
2a074d39-eee4-4bfe-b1e7-4132c033a762,5
2a54c352-7ca4-4bae-ad46-47ecd9595bd2,2
2af5e424-2d05-9507-ab19-516fbe7275ec,5
2afc5ee2-a7b6-3e99-07a5-628454c4b92c,5
2b36f636-e882-4b90-92c1-1f55f325053b,5
2c4d3323-de56-450a-acda-75b55f60dba2,5
2c70cf41-a5ea-9e38-88b7-e699188f777b,5
2c79b4af-f830-b61e-92b9-63dfa30f16e4,2
2d2355e7-7b07-4c0e-a395-16499c27ae94,5
2d46a0ae-4d47-8fdb-0d83-a0f6ba7b6212,5
2d4f3e5e-9a8b-4c0d-b6e7-8f9a0b1c2d3e,2
2db630cb-038a-18ff-752e-b83c4d282af1,5
2e1d11d0-8573-19b6-3c51-5bbe6b0d3161,5
2e7c077b-2e26-c5ff-3dc7-bbd7c4595610,5
2f38577d-b711-4eb3-bdc8-b423fc013ed2,5
2f3863d8-940d-b41c-ba67-3d6e2393410f,5
2f70bd89-13ee-bfc7-f869-58617f99c313,5
2f76f25d-2fda-587d-8cdd-9426c0e199bc,5
2f97502d-cdce-6137-2954-5507f1062089,5
2f9a914c-e88c-401b-9c21-5ddb94b31b4a,5
2fa08fbe-2a72-00a8-9d8a-6e2a4f661918,5
2fa1be2c-a4a2-5fa5-15e2-fec18819d3dd,2
2fd6b6c3-f52b-464d-a301-0d81c7b4839c,4
302d2a3b-dbf7-f695-d7f0-592c5be7dcdc,5
3075e3f6-4428-0d05-0ad4-db4d0a10970b,5
3085af32-217a-4e4b-ba6c-a81c342f8d2c,5
309099ef-c2a4-3382-0a1f-d9b6cf091722,5
313b818e-76c0-4de1-f457-e4ace4b6f7ec,5
315cc7e3-7252-47ce-af2f-9abf243fac16,5
31d91ba7-c31e-42ff-02e3-dddba8ef87f4,5
31f1a912-1b98-42fd-8381-1e8d1033bfd1,5
31f2f70a-685f-4e0a-96ba-cb0c0e83768b,5
32771b45-220c-1a8b-584e-fdd5a2584a66,4
32899900-6b73-4cdd-906d-702e00bae698,5
32ce7f75-f213-d43b-e99e-fe31b5d6e5f1,5
32fd0b01-d510-7c32-c448-496a4eec1533,5
3320d1ac-0ebe-41ab-b96c-96fb91214c5c,3
33422d8f-ab1e-42be-bc9a-38685bb567b9,1
334a182c-7c2c-41bc-ae1e-55327891ab50,1
336d9398-7f8b-4743-bf48-9bddc7906984,5
336f1a3c-3d5a-a3b2-154a-1449cb6f332a,5
342b35fe-0a0f-d78a-6fe4-a333bbe40110,5
349d0dad-4ab0-b815-31fc-95ec3e2042d0,5
34edb7eb-697c-4be9-8830-5aa5b031372e,5
3531261f-1644-4d10-9242-8e35ef386a83,5
357272d2-2018-455e-935c-8777473661dd,5
35868e8c-97eb-4981-ab79-99b25101cc86,5
35b25be2-d08a-e340-45ed-f08a95d804fc,1
35dbb67c-6fe4-fdb2-b155-774eeec92aef,5
36bdb65b-0b13-0ff5-27f3-568adbb2b817,5
36f1578b-8702-488a-b213-6e30963e8958,5
36f862b4-f550-4635-ebc5-e07b7ed98d80,5
37607eb4-3515-c3f8-e3f4-b0fc684c52a0,5
37639193-eb8a-8776-ab76-832a10a16f24,5
3825d40a-7361-9eb6-474f-3c1adefd7bc7,5
3869fbd7-5d90-84e4-37bd-d9a7f4ce9a24,1
38c8befd-25a5-a7b2-5686-73416a393b24,5
39595d95-88a4-78e2-6e0e-fbde7fd95eed,5
396f1552-406d-4b58-b4a6-fc56c75eb70a,5
399e9b90-3091-fcc8-2134-bd601aa07c89,5
39a44d88-6ee9-b9f6-3ec1-55e1da4b3b48,5
39aa5c2b-5b36-84a7-4022-570a53c86ff9,5
3a458767-d0cc-5a1e-9b97-463b9db0a41b,5
3aaf5d3d-c858-bd22-aec5-4ef586bcb516,5
3addcb50-d36f-7914-f299-5fa762383791,5
3b20e985-f71f-483b-b078-f30d73936d43,1
3b363842-30f5-4056-980d-3a40fa5de8b3,2
3b8a1eba-64e5-4117-b7bc-2cf5042de658,5
3b8c6f2a-7d4e-4a9b-8e5f-1c9d3a7b6e4f,3
3b993f8f-245d-4f4e-9e8b-f94cbc71c3f6,5
3bebaa9c-02e5-796b-d359-85c087dd45f7,5
3c22162d-5286-851c-4aac-4a442a3f3334,5
3c7471b2-8e81-53e1-e470-bfa69a8469e7,5
3d62b2d3-3673-bf1f-5656-a2f503c64085,5
3d962d48-6473-67d0-68c2-b7fc618c6646,5
3dcf28a5-e199-4b78-8933-7828dfde4b9d,5
3dfc04d2-f02a-89de-740d-edb4d878a416,5
3e20b64c-0356-4e95-ba4e-2ebd51e10bb9,5
3ea106ab-e57d-0f59-f16a-e97cc4b897a9,3
3ecad3dd-7bc2-ee34-52c3-860ffeac1ca3,5
3f2d92c2-5850-4f2d-b245-f5089aa975dd,5
3fe5fb29-97b3-bf6e-b1b4-7e6ff9325e88,5
400a6682-992c-4726-9549-629fbc3b988f,1
403670e7-8c1b-4c09-81f8-9c2f3c3ebe30,5
40394a2c-60fb-7cc5-1944-065772e94f05,3
4054c4db-7927-4344-87b4-156c1d681598,5
405636d5-14b1-65d1-88e4-5e7db346ea76,5
40929e09-b6bc-0d17-56e7-41f174883c6d,5
40a8b949-722c-fdb9-b143-a0dc94896c4d,5
4153022e-d1f0-ceba-9f14-18767f9296df,5
4172c17e-5673-5abc-e211-51dea7c9ab4b,5
41a8be7d-69bd-48f4-ae77-9568cf7b15d1,5
41c0d5fa-03f9-7f13-4723-335d1e5ffd1a,5
41f5d060-b585-4780-918e-c31fe9821d02,1
420cf8af-038e-4d06-89a4-aa8bfaec0191,5
429123d4-7e7d-2737-6542-2e86b82c16a1,5
42db0bec-e47f-49f6-a0af-59798f0feefe,5
43119747-263c-2c92-4ce5-726e63259049,5
432a85bb-2177-ec02-0d4d-b77259affd8f,5
434ad4ac-3b99-d86e-f0a3-90b41e891a70,5
4383c5e5-ea15-4e94-a170-fd61b3fda9f1,5
43ebee23-bd47-6bd2-fc6b-7ee9a3b755dd,5
44aae697-8cc1-4ed1-a136-44a644bfd51f,3
